Fag,Antall,Godkjente,Ikke Godkjente
Matematikk,1628,1552,5
Norsk,347,328,3
Historie,278,245,11
Fysikk,261,251,3
Fremmedspråk,258,243,6
Naturfag,256,240,6
Kjemi,244,230,1
Geografi,223,210,2
Samfunnskunnskap,210,195,3
Engelsk,186,172,2
Biologi,153,142,2
Psykologi,143,132,1
Økonomiske fag,105,92,4
IKT,82,82,0
Religion,65,60,3
Rettslære,59,55,3
Kroppsøving,42,37,0
Informasjonsteknologi,36,33,0
Geofag,34,31,0
Historie og filosofi,32,32,0
Omvisning,32,32,0
Annet,22,22,0
Teknologi og Forskningslære,21,20,1
Markedsføring,20,20,0
Sosiologi,18,16,0
Forretningsdrift,15,15,0
Mediesamfunn,15,14,0
Media,14,14,0
Produksjon og historiefortelling,14,12,2
Breddeidrett,11,11,0
IM fag,10,9,0
Samfunnsgeografi,10,9,0
Medieuttrykk,9,9,0
Politikk og menneskerettigheter,9,8,0
Abelkonkurransen,7,7,0
Entreprenørskap og Bedriftsutvikling,6,5,0
HiFi,6,6,0
Grafisk Design,5,4,0
Toppidrett,5,3,2
Brukerstøtte,4,4,0
Teknologiforståelse,4,3,0
Konseptutvikling og Programmering,2,2,0
Reiseliv og Språk,2,2,0
Kultur og Samhandling,1,1,0
Sosialkunnskap,1,1,0
