id_book,page,start_time,duration,total_pages
1,5,1734520592,76,443
1,5,1734520669,21,443
1,5,1734520691,66,443
1,4,1734520757,7,443
1,4,1734521088,5,443
1,5,1734521094,45,443
1,5,1734521314,35,443
1,5,1734521408,21,443
1,5,1734521461,71,443
1,5,1734521564,94,443
1,5,1734521660,120,443
1,5,1734522380,8,443
1,5,1734522604,30,443
1,5,1734541708,120,443
1,5,1734542007,10,443
1,5,1734542093,42,443
1,5,1734542217,18,443
1,5,1734542299,15,443
1,5,1734546106,69,443
1,5,1734550889,120,443
1,5,1734551043,8,443
1,5,1734589289,120,443
1,5,1734590230,120,443
1,5,1734590357,120,443
1,6,1734590760,120,443
1,7,1734591142,83,443
1,7,1734591228,120,443
1,7,1734636883,28,443
1,7,1734637028,74,443
1,7,1734644366,120,443
1,7,1734644633,120,443
1,7,1734645024,11,443
1,8,1734645035,5,443
1,8,1734645042,120,443
1,9,1734645458,35,443
1,9,1734645494,19,443
1,10,1734679804,57,443
1,9,1734679078,120,443
1,9,1734679543,68,443
1,9,1734679613,27,443
1,9,1734679642,120,443
1,10,1734679862,120,443
1,10,1734731982,120,443
1,11,1734732376,120,443
1,11,1734732612,120,443
1,12,1734769617,120,443
1,13,1734769897,70,443
1,13,1734770010,84,443
1,13,1734770096,120,443
1,14,1734770268,120,443
1,14,1734802836,120,443
1,14,1734804164,7,443
1,5,1734804176,96,443
1,5,1734804668,120,443
1,5,1734818986,120,443
1,14,1734819318,117,443
1,15,1734819435,92,443
1,15,1734819528,120,443
1,16,1734819772,120,443
1,16,1734819910,120,443
1,17,1734865544,120,443
1,19,1734866580,120,443
1,18,1734866211,120,443
1,20,1734866913,54,443
1,20,1734866980,49,443
1,20,1734867032,16,443
1,19,1734866975,5,443
1,22,1734905386,120,443
1,21,1734905040,78,443
1,21,1734905121,120,443
1,21,1734905292,94,443
1,20,1734904489,120,443
1,20,1734904795,49,443
1,20,1734904846,120,443
1,19,1734904748,6,443
1,19,1734904758,37,443
1,23,1734991341,120,443
1,23,1734991847,22,443
1,25,1734992036,120,443
1,25,1734992247,113,443
1,24,1734991825,22,443
1,24,1734991869,120,443
1,27,1735081906,27,443
1,27,1735081933,113,443
1,27,1735082049,81,443
1,26,1735081408,120,443
1,27,1735164691,120,443
1,29,1735165382,94,443
1,29,1735165477,120,443
1,28,1735165041,115,443
1,28,1735165157,90,443
1,28,1735165252,120,443
1,27,1735164823,120,443
1,30,1735165754,120,443
1,31,1735204395,19,443
1,31,1735250376,120,443
2,7,1735336044,90,771
2,8,1735336134,110,771
2,9,1735424681,120,771
2,10,1735424834,120,771
2,10,1735425121,65,771
2,10,1735425187,5,771
2,11,1735425192,120,771
2,12,1735425347,71,771
2,13,1735425418,72,771
2,14,1735425495,63,771
2,17,1735509781,93,771
2,16,1735509633,113,771
2,16,1735509750,31,771
2,15,1735509473,120,771
2,19,1735596071,24,771
2,18,1735595807,120,771
2,19,1735596118,100,771
2,22,1735853774,61,771
2,21,1735853705,69,771
2,20,1735853506,120,771
2,23,1735853835,120,771
2,26,1735939756,112,771
2,27,1735939868,57,771
2,25,1735939674,79,771
2,24,1735939539,120,771
2,28,1736028597,120,771
2,28,1736028901,10,771
2,29,1736028804,97,771
3,4,1736112833,7,446
3,7,1736112843,11,446
3,7,1736112865,63,446
3,8,1736112933,120,446
3,135,1736112860,5,446
3,10,1736113181,5,518
3,10,1736113186,86,518
3,9,1736113092,89,518
3,11,1736113280,77,518
3,12,1736113359,93,518
3,13,1736113452,70,518
3,14,1736113522,76,518
3,15,1736113598,60,518
3,22,1736146532,103,518
3,21,1736146413,65,518
3,21,1736146481,51,518
3,20,1736146322,85,518
3,19,1736146197,120,518
3,17,1736146027,21,518
3,17,1736146049,70,518
3,16,1736145942,85,518
3,18,1736146119,78,518
3,23,1736199113,65,518
3,23,1736199182,89,518
3,27,1736199650,81,518
3,26,1736199516,120,518
3,25,1736199387,120,518
3,24,1736199271,116,518
3,28,1736199731,91,518
3,29,1736286174,83,518
3,31,1736286502,120,518
3,30,1736286364,120,518
3,29,1736286277,82,518
3,33,1736373013,120,518
3,32,1736372816,120,518
3,35,1736373278,87,518
3,34,1736373135,120,518
3,38,1736406069,96,518
3,36,1736405797,92,518
3,37,1736405889,120,518
3,39,1736494168,120,518
3,41,1736546475,7,518
3,41,1736546486,6,518
3,41,1736546498,117,518
3,43,1736546694,120,518
3,44,1736546860,120,518
3,42,1736546615,5,518
3,42,1736546622,72,518
3,40,1736546376,99,518
3,40,1736546492,6,518
3,39,1736546212,120,518
3,45,1736634422,120,518
3,46,1736634578,89,518
3,47,1736634667,97,518
3,48,1736634764,7,518
3,52,1736718436,71,518
3,52,1736718562,11,518
3,50,1736718221,102,518
3,48,1736717939,74,518
3,48,1736718017,96,518
3,53,1736718507,55,518
3,53,1736718573,120,518
3,51,1736718323,108,518
3,49,1736718113,108,518
3,56,1736805060,106,518
3,56,1736805214,9,518
3,55,1736804980,80,518
3,54,1736804822,120,518
3,58,1736805262,120,518
3,57,1736805166,48,518
3,57,1736805223,39,518
3,64,1736891370,99,518
3,60,1736890936,103,518
3,60,1736891079,12,518
3,65,1736891469,104,518
3,63,1736891268,102,518
3,66,1736891575,82,518
3,62,1736891175,93,518
3,61,1736891039,40,518
3,61,1736891091,84,518
3,59,1736890774,120,518
3,67,1736976264,120,518
3,69,1736976554,120,518
3,68,1736976400,120,518
3,71,1737151341,120,518
3,72,1737151466,120,518
3,70,1737151201,120,518
3,73,1737151602,84,518
3,76,1737238427,120,518
3,78,1737238718,8,518
3,75,1737238211,48,518
3,75,1737238261,120,518
3,74,1737238070,120,518
3,77,1737238574,120,518
3,78,1737323639,117,518
3,80,1737323855,85,518
3,79,1737323756,99,518
3,84,1737410162,14,518
3,84,1737410180,113,518
3,86,1737410422,110,518
3,85,1737410293,120,518
3,83,1737410045,117,518
3,81,1737409620,120,518
3,82,1737409918,119,518
3,82,1737410040,5,518
3,87,1737449578,120,518
3,88,1737496281,120,518
3,93,1737496877,49,518
3,91,1737496684,108,518
3,92,1737496792,85,518
3,89,1737496430,93,518
3,90,1737496523,120,518
3,93,1737582082,16,518
3,93,1737582396,120,518
3,94,1737582532,85,518
3,95,1737582617,108,518
3,96,1737582725,37,518
1,31,1738791592,63,443
1,31,1738791656,120,443
1,32,1738792129,88,443
1,33,1738875147,120,443
1,33,1738875407,120,443
1,32,1738874732,12,443
1,32,1738874745,51,443
1,32,1738874797,106,443
1,32,1738874904,120,443
1,32,1738875028,119,443
1,34,1738875544,114,443
1,34,1738875659,120,443
1,35,1738926015,39,443
1,35,1738962387,120,443
1,35,1738962638,120,443
1,35,1738962763,103,443
1,35,1738962882,24,443
1,36,1738962866,16,443
1,36,1738962906,89,443
1,36,1738962997,120,443
1,37,1738963283,120,443
1,38,1739024965,120,443
1,38,1739025163,120,443
1,41,1739025843,41,443
1,40,1739025622,120,443
1,39,1739025311,120,443
1,41,1739028278,11,443
1,39,1739028293,68,443
