No.;Time;Comment;Scramble;Date;P.1
1;42.41;;F' U2 F' L2 B F2 U2 R2 F2 L2 R B D2 R' U F2 D2 B' L2;2021-10-06 10:56:13;42.41
2;46.58;;L2 B2 R2 D2 U' B2 F2 U' F2 R2 D2 B' L U L2 B F' R2 F2 R';2021-10-06 11:04:03;46.58
3;1:02.12;;L2 U B2 U F2 L2 F2 D L2 B2 D U2 R' U L R' B' R2 F2 L U';2021-10-06 12:36:48;1:02.12
4;37.06;;R' F R' U2 L2 B2 R' B2 L' U2 L U L B D' B2 R' D2 B';2021-10-06 13:44:15;37.06
5;47.91;;L' U2 D2 B' L U B R' B' R2 U2 F2 L2 F2 U' B2 U F2;2021-10-06 13:45:31;47.91
6;48.49;;L U B' L2 D2 B2 R2 F D2 F' L2 D R' D B U' L' B;2021-10-06 13:47:14;48.49
7;49.54;;D B D' L2 F2 U B2 D R2 D2 F2 U' B2 R2 L' B2 L B' U R2 U';2021-10-07 07:04:01;49.54
8;27.64;;F2 D2 U2 F' D2 L2 B' F2 U2 F' D2 R B2 D' U' L2 B2 D' L B';2021-10-07 07:10:41;27.64
9;37.83;;R' U R2 F U2 F2 R2 U2 R2 F' L2 R2 F U B L' D U' F D R2;2021-10-07 07:11:55;37.83
10;42.87;;D2 L2 B F2 D2 F2 D2 R2 D2 F D U' L' U' R' F U2 L' B' F2;2021-10-07 07:15:17;42.87
11;43.36;;U' F' L2 D F' R U2 B' D2 F2 U2 R2 D F2 D F2 B2 L2 U;2021-10-07 07:16:42;43.36
12;41.67;;D' R B2 U' F2 R2 D' B2 L2 U L2 F2 D L' F2 D U' B U2 B';2021-10-07 07:18:04;41.67
13;43.00;;D F2 U L2 U B2 F2 D U R2 L' F' D' F' L F U R U;2021-10-07 07:21:28;43.00
14;37.28;;D2 R U2 R F2 L' B2 F2 R' B2 U R2 B' F2 U L' U F' U';2021-10-07 08:05:14;37.28
15;46.58;;F2 L B' F2 L2 F' U2 F2 D2 L2 D2 R2 F D' B' U R' D L2 F2 U';2021-10-07 08:06:50;46.58
16;39.25;;B R2 F' L2 R2 B U2 F D2 B U2 F2 R F' D R' F L F' D';2021-10-07 08:08:16;39.25
17;42.35;;L' D2 F2 D2 U2 R2 B2 R F2 L' B2 U' B F2 U' B2 D2 U' L D2;2021-10-07 16:34:55;42.35
18;27.92;;R2 D B2 L2 R2 D' B2 D L2 B2 L2 R D2 U' B D' F2 U' R U F;2021-10-08 07:03:18;27.92
19;51.80;;B2 D' F2 D' F2 U L2 D' L2 B2 D L2 B D R' B L U' B L' D;2021-10-08 07:04:42;51.80
20;38.27;;R' B2 R2 B2 U2 L2 D2 U R2 D' R2 B2 F2 R' B2 F' R B R' D B2;2021-10-08 07:06:38;38.27
21;42.05;;L2 D R2 U2 B2 U B2 L2 D2 B2 D L2 B' L' F R2 F L' D' B' U';2021-10-08 07:08:06;42.05
22;36.40;;B2 U' R2 L U B' R2 F' B2 U R2 L2 U2 R2 F2 U2 D L2 B';2021-10-08 07:09:17;36.40
23;37.67;;B F D2 B U2 F2 L2 F L2 F L D B' D2 L' R D R' F' U2;2021-10-08 07:10:44;37.67
24;28.36;;U L' B2 U2 F2 L2 F2 R2 F2 U' R2 U2 B R2 F R D' U B2 R;2021-10-08 07:12:00;28.36
25;30.89;;B U' B2 R F' R' L B' D' F2 D2 F R2 L2 D2 F L2 U2 L2 U2;2021-10-08 07:13:58;30.89
26;30.61;;B D' B2 L U B D2 B U F2 R U2 F2 L' B2 U2 D2 R' B2 U2;2021-10-08 07:15:11;30.61
27;31.51;;U R F' D' B2 L2 D L2 U' L2 U' L2 B' D B L' U L2 R2;2021-10-08 07:16:22;31.51
28;30.15;;B2 F2 R' U2 B2 R2 F2 L U2 B2 R F2 U B U2 B' L B' U2 F;2021-10-08 07:17:30;30.15
29;34.91;;U B2 U2 B R2 F' L2 F L2 U2 L2 B2 U' F' L R2 B2 U' B D;2021-10-08 07:42:57;34.91
30;32.50;;D F2 D B U' R D B R2 D' L2 F2 U' B2 U' F2 L2 U2 R2 L2;2021-10-08 07:44:38;32.50
31;24.60;;D R2 F L' U F' R2 L2 B' L2 B2 U' R2 U D2 B2 D F2 L2 B2 L2;2021-10-08 07:45:51;24.60
32;42.03;;B U2 F2 D2 F2 L2 D B2 D B2 L2 D R' F D F U2 L' D2 R2;2021-10-08 07:47:11;42.03
33;44.90;;R2 B' U2 F2 U2 R2 F2 U2 F D2 R2 F2 U' F' U R U B' D B L';2021-10-09 15:55:52;44.90
34;33.68;;U2 R2 D2 U2 R2 F R2 B F' R2 F' D B R' F' R' F' R B U;2021-10-09 15:57:13;33.68
35;37.27;;B F2 R2 F2 U' B2 R2 U' R2 U' L2 R2 B' U2 F' R' B' L' U R2;2021-10-09 15:58:03;37.27
36;45.07;;B2 F2 D' F2 U B2 D2 L2 D' L2 U R' F2 L' D' F D R2 F' D2 R2;2021-10-09 15:58:49;45.07
37;36.90;;B D2 L2 U' L2 U' R2 U R2 U' B2 D' L' U2 F D' U' B' U' R';2021-10-14 09:30:08;36.90
38;37.08;;U' F L' D' F R2 U2 F2 L' R2 F' R2 U2 F R2 B D2 B' L2;2021-10-14 09:31:17;37.08
39;28.83;;D L2 B2 L2 U' R2 D B2 D2 L2 R2 F2 R U2 B2 U F' U2 L' F' D';2021-10-15 14:45:06;28.83
40;23.47;;D2 L D2 B U D F' U' F B2 U2 F R2 F R2 F' U2 R2 B' U';2021-10-15 14:46:52;23.47
41;26.38;;U2 L2 D' L2 B2 D U B2 U' F2 L2 U F L2 D' U2 B U F' L' U2;2021-10-15 14:48:40;26.38
42;30.90;;U' L2 U2 B D2 U2 F' L2 D2 F2 D2 U B' U' L' D' R D' L2;2021-10-15 14:49:52;30.90
43;33.80;;F2 D2 F' U2 B2 U L2 F2 D' L2 U2 B2 D R2 F' R' F R D B R2;2021-10-15 19:30:35;33.80
44;26.57;;L' D2 R' F2 U2 R2 D2 R D2 U2 F2 U F' D2 F2 U' F' D' R F;2021-10-15 19:46:26;26.57
45;23.03;;U2 F' D B2 F2 D L2 U2 F2 U' R2 B2 U2 R' B L' F2 D' B' L' B';2021-10-15 19:47:45;23.03
46;24.72;;D2 B2 R2 D B2 D' L2 U2 B2 U F2 L2 F' R2 B' L F U' L2 F2 D';2021-10-15 19:49:29;24.72
47;34.72;;F D2 R2 U' B2 U' F2 U' F2 D2 L2 B F L D2 R' B L' U' F;2021-10-19 11:06:04;34.72
48;28.06;;L2 U' R' B L U L D' F' D2 F2 U2 D2 R2 D2 B2 R U2 R' B2;2021-10-19 11:07:14;28.06
49;33.54;;F U L F R2 D' R2 B' D' U2 R' D2 R U2 R2 F2 U2 B2 R' U2 B2;2021-10-19 11:08:44;33.54
50;43.75;;B' U' L2 D2 R2 B L2 R2 U2 B L2 F' U2 B L' F' D' U2 F' R' B2;2021-10-19 11:09:52;43.75
51;36.13;;U R2 U2 B L2 B' F' D2 B' U2 L2 D2 U R' D L' B2 L' F' R';2021-10-19 11:11:08;36.13
52;40.14;;U2 D2 L2 F B U F U2 R2 D2 R2 F2 D R2 L2 F2 D L2 U' L' F';2021-10-19 11:12:22;40.14
53;27.36;;U2 R2 U' L2 D' L2 B2 L2 B2 U' B2 R2 B U' F L' B' D2 B L' U2;2021-10-22 10:55:44;27.36
54;35.97;;U2 R2 F' R2 F2 U2 B D2 L2 F2 R' D' L B U R2 F' D2 L F';2021-10-25 10:43:17;35.97
