"kjønn";"alder";"år";"Personer"
"Kvinner";0;1986;24799
"Kvinner";0;1987;25363
"Kvinner";0;1988;26488
"Kvinner";0;1989;27948
"Kvinner";0;1990;28733
"Kvinner";0;1991;29570
"Kvinner";0;1992;29452
"Kvinner";0;1993;28932
"Kvinner";0;1994;29106
"Kvinner";0;1995;29053
"Kvinner";0;1996;29263
"Kvinner";0;1997;29432
"Kvinner";0;1998;29027
"Kvinner";0;1999;28430
"Kvinner";0;2000;28887
"Kvinner";0;2001;28805
"Kvinner";0;2002;27665
"Kvinner";0;2003;27193
"Kvinner";0;2004;27523
"Kvinner";0;2005;27815
"Kvinner";0;2006;27808
"Kvinner";0;2007;28654
"Kvinner";0;2008;28571
"Kvinner";0;2009;29434
"Kvinner";0;2010;30136
"Kvinner";0;2011;30079
"Kvinner";0;2012;29330
"Kvinner";0;2013;29504
"Kvinner";0;2014;29005
"Kvinner";0;2015;28839
"Kvinner";0;2016;28851
"Kvinner";0;2017;28685
"Kvinner";0;2018;27628
"Kvinner";0;2019;26835
"Kvinner";0;2020;26619
"Kvinner";0;2021;26005
"Kvinner";0;2022;27572
"Kvinner";0;2023;25310
"Kvinner";0;2024;25637
"Kvinner";0;2025;26206
"Kvinner";1;1986;24606
"Kvinner";1;1987;24907
"Kvinner";1;1988;25552
"Kvinner";1;1989;26634
"Kvinner";1;1990;27988
"Kvinner";1;1991;28822
"Kvinner";1;1992;29720
"Kvinner";1;1993;29659
"Kvinner";1;1994;29180
"Kvinner";1;1995;29259
"Kvinner";1;1996;29255
"Kvinner";1;1997;29402
"Kvinner";1;1998;29680
"Kvinner";1;1999;29299
"Kvinner";1;2000;28745
"Kvinner";1;2001;29090
"Kvinner";1;2002;29039
"Kvinner";1;2003;28025
"Kvinner";1;2004;27618
"Kvinner";1;2005;28066
"Kvinner";1;2006;28221
"Kvinner";1;2007;28197
"Kvinner";1;2008;29022
"Kvinner";1;2009;29004
"Kvinner";1;2010;29865
"Kvinner";1;2011;30586
"Kvinner";1;2012;30517
"Kvinner";1;2013;29776
"Kvinner";1;2014;29908
"Kvinner";1;2015;29423
"Kvinner";1;2016;29195
"Kvinner";1;2017;29138
"Kvinner";1;2018;29038
"Kvinner";1;2019;27901
"Kvinner";1;2020;27165
"Kvinner";1;2021;26803
"Kvinner";1;2022;26296
"Kvinner";1;2023;28037
"Kvinner";1;2024;25788
"Kvinner";1;2025;25926
"Kvinner";2;1986;24282
"Kvinner";2;1987;24680
"Kvinner";2;1988;25034
"Kvinner";2;1989;25668
"Kvinner";2;1990;26670
"Kvinner";2;1991;28014
"Kvinner";2;1992;28909
"Kvinner";2;1993;29858
"Kvinner";2;1994;29884
"Kvinner";2;1995;29299
"Kvinner";2;1996;29402
"Kvinner";2;1997;29366
"Kvinner";2;1998;29567
"Kvinner";2;1999;29929
"Kvinner";2;2000;29548
"Kvinner";2;2001;28891
"Kvinner";2;2002;29193
"Kvinner";2;2003;29290
"Kvinner";2;2004;28195
"Kvinner";2;2005;27823
"Kvinner";2;2006;28361
"Kvinner";2;2007;28510
"Kvinner";2;2008;28592
"Kvinner";2;2009;29375
"Kvinner";2;2010;29333
"Kvinner";2;2011;30213
"Kvinner";2;2012;30948
"Kvinner";2;2013;30995
"Kvinner";2;2014;30149
"Kvinner";2;2015;30243
"Kvinner";2;2016;29631
"Kvinner";2;2017;29464
"Kvinner";2;2018;29367
"Kvinner";2;2019;29160
"Kvinner";2;2020;28058
"Kvinner";2;2021;27195
"Kvinner";2;2022;26990
"Kvinner";2;2023;26820
"Kvinner";2;2024;28369
"Kvinner";2;2025;26019
"Kvinner";3;1986;24967
"Kvinner";3;1987;24348
"Kvinner";3;1988;24824
"Kvinner";3;1989;25147
"Kvinner";3;1990;25714
"Kvinner";3;1991;26684
"Kvinner";3;1992;28098
"Kvinner";3;1993;29002
"Kvinner";3;1994;30039
"Kvinner";3;1995;29972
"Kvinner";3;1996;29392
"Kvinner";3;1997;29482
"Kvinner";3;1998;29454
"Kvinner";3;1999;29665
"Kvinner";3;2000;30121
"Kvinner";3;2001;29589
"Kvinner";3;2002;28937
