"produksjon og forbruk";"måned";"Elektrisk kraft"
"1 Total produksjon av elektrisk kraft";"1993M01";11718176
"1 Total produksjon av elektrisk kraft";"1993M02";10675869
"1 Total produksjon av elektrisk kraft";"1993M03";11406111
"1 Total produksjon av elektrisk kraft";"1993M04";9464337
"1 Total produksjon av elektrisk kraft";"1993M05";8339679
"1 Total produksjon av elektrisk kraft";"1993M06";8160956
"1 Total produksjon av elektrisk kraft";"1993M07";7418503
"1 Total produksjon av elektrisk kraft";"1993M08";8122230
"1 Total produksjon av elektrisk kraft";"1993M09";9349530
"1 Total produksjon av elektrisk kraft";"1993M10";10718685
"1 Total produksjon av elektrisk kraft";"1993M11";11954294
"1 Total produksjon av elektrisk kraft";"1993M12";12672293
"1 Total produksjon av elektrisk kraft";"1994M01";12401753
"1 Total produksjon av elektrisk kraft";"1994M02";11413645
"1 Total produksjon av elektrisk kraft";"1994M03";10177098
"1 Total produksjon av elektrisk kraft";"1994M04";8304813
"1 Total produksjon av elektrisk kraft";"1994M05";8206820
"1 Total produksjon av elektrisk kraft";"1994M06";8334119
"1 Total produksjon av elektrisk kraft";"1994M07";7162824
"1 Total produksjon av elektrisk kraft";"1994M08";7790565
"1 Total produksjon av elektrisk kraft";"1994M09";8537468
"1 Total produksjon av elektrisk kraft";"1994M10";9904844
"1 Total produksjon av elektrisk kraft";"1994M11";10214888
"1 Total produksjon av elektrisk kraft";"1994M12";11033435
"1 Total produksjon av elektrisk kraft";"1995M01";12233989
"1 Total produksjon av elektrisk kraft";"1995M02";10889383
"1 Total produksjon av elektrisk kraft";"1995M03";11518461
"1 Total produksjon av elektrisk kraft";"1995M04";9998719
"1 Total produksjon av elektrisk kraft";"1995M05";8862919
"1 Total produksjon av elektrisk kraft";"1995M06";8101440
"1 Total produksjon av elektrisk kraft";"1995M07";8009238
"1 Total produksjon av elektrisk kraft";"1995M08";8513385
"1 Total produksjon av elektrisk kraft";"1995M09";8794833
"1 Total produksjon av elektrisk kraft";"1995M10";10313825
"1 Total produksjon av elektrisk kraft";"1995M11";12366096
"1 Total produksjon av elektrisk kraft";"1995M12";13582892
"1 Total produksjon av elektrisk kraft";"1996M01";13646450
"1 Total produksjon av elektrisk kraft";"1996M02";12477010
"1 Total produksjon av elektrisk kraft";"1996M03";11168545
"1 Total produksjon av elektrisk kraft";"1996M04";8429734
"1 Total produksjon av elektrisk kraft";"1996M05";8445406
"1 Total produksjon av elektrisk kraft";"1996M06";6313332
"1 Total produksjon av elektrisk kraft";"1996M07";5633043
"1 Total produksjon av elektrisk kraft";"1996M08";5988037
"1 Total produksjon av elektrisk kraft";"1996M09";6170778
"1 Total produksjon av elektrisk kraft";"1996M10";7184282
"1 Total produksjon av elektrisk kraft";"1996M11";9135765
"1 Total produksjon av elektrisk kraft";"1996M12";10156533
"1 Total produksjon av elektrisk kraft";"1997M01";9915507
"1 Total produksjon av elektrisk kraft";"1997M02";8523572
"1 Total produksjon av elektrisk kraft";"1997M03";9591261
"1 Total produksjon av elektrisk kraft";"1997M04";9315316
"1 Total produksjon av elektrisk kraft";"1997M05";8335058
"1 Total produksjon av elektrisk kraft";"1997M06";7672333
"1 Total produksjon av elektrisk kraft";"1997M07";7403846
"1 Total produksjon av elektrisk kraft";"1997M08";7837149
"1 Total produksjon av elektrisk kraft";"1997M09";9321202
"1 Total produksjon av elektrisk kraft";"1997M10";10863016
"1 Total produksjon av elektrisk kraft";"1997M11";11046738
"1 Total produksjon av elektrisk kraft";"1997M12";11803947
"1 Total produksjon av elektrisk kraft";"1998M01";11654934
"1 Total produksjon av elektrisk kraft";"1998M02";10098134
"1 Total produksjon av elektrisk kraft";"1998M03";11267669
