"forbrukergruppe";"år";"Forbruk i alt"
"KRAFTINTENSIV INDUSTRI";"1993";35066
"KRAFTINTENSIV INDUSTRI";"1994";35062
"KRAFTINTENSIV INDUSTRI";"1995";35780
"KRAFTINTENSIV INDUSTRI";"1996";34701
"KRAFTINTENSIV INDUSTRI";"1997";36544
"KRAFTINTENSIV INDUSTRI";"1998";38956
"KRAFTINTENSIV INDUSTRI";"1999";39758
"KRAFTINTENSIV INDUSTRI";"2000";41038
"KRAFTINTENSIV INDUSTRI";"2001";39382
"KRAFTINTENSIV INDUSTRI";"2002";37378
"KRAFTINTENSIV INDUSTRI";"2003";38000
"KRAFTINTENSIV INDUSTRI";"2004";41334
"KRAFTINTENSIV INDUSTRI";"2005";41691
"KRAFTINTENSIV INDUSTRI";"2006";39157
"KRAFTINTENSIV INDUSTRI";"2007";39388
"KRAFTINTENSIV INDUSTRI";"2008";40672
"KRAFTINTENSIV INDUSTRI";"2009";32780
"KRAFTINTENSIV INDUSTRI";"2010";34927
"KRAFTINTENSIV INDUSTRI";"2011";35102
"KRAFTINTENSIV INDUSTRI";"2012";34546
"KRAFTINTENSIV INDUSTRI";"2013";34758
"KRAFTINTENSIV INDUSTRI";"2014";35362
"KRAFTINTENSIV INDUSTRI";"2015";36058
"KRAFTINTENSIV INDUSTRI";"2016";36752
"KRAFTINTENSIV INDUSTRI";"2017";36950
"KRAFTINTENSIV INDUSTRI";"2018";37739
"KRAFTINTENSIV INDUSTRI";"2019";37259
"KRAFTINTENSIV INDUSTRI";"2020";37907
"KRAFTINTENSIV INDUSTRI";"2021";39568
"KRAFTINTENSIV INDUSTRI";"2022";38651
"KRAFTINTENSIV INDUSTRI";"2023";35884
"Produksjon av papirmasse, papir og papp";"1993";7103
"Produksjon av papirmasse, papir og papp";"1994";6417
"Produksjon av papirmasse, papir og papp";"1995";6791
"Produksjon av papirmasse, papir og papp";"1996";5952
"Produksjon av papirmasse, papir og papp";"1997";6290
"Produksjon av papirmasse, papir og papp";"1998";6895
"Produksjon av papirmasse, papir og papp";"1999";6973
"Produksjon av papirmasse, papir og papp";"2000";8035
"Produksjon av papirmasse, papir og papp";"2001";6622
"Produksjon av papirmasse, papir og papp";"2002";6751
"Produksjon av papirmasse, papir og papp";"2003";6132
"Produksjon av papirmasse, papir og papp";"2004";6192
"Produksjon av papirmasse, papir og papp";"2005";6185
"Produksjon av papirmasse, papir og papp";"2006";5297
"Produksjon av papirmasse, papir og papp";"2007";5570
"Produksjon av papirmasse, papir og papp";"2008";5327
"Produksjon av papirmasse, papir og papp";"2009";4196
"Produksjon av papirmasse, papir og papp";"2010";4687
"Produksjon av papirmasse, papir og papp";"2011";4153
"Produksjon av papirmasse, papir og papp";"2012";3841
"Produksjon av papirmasse, papir og papp";"2013";3433
"Produksjon av papirmasse, papir og papp";"2014";3295
"Produksjon av papirmasse, papir og papp";"2015";3268
"Produksjon av papirmasse, papir og papp";"2016";3569
"Produksjon av papirmasse, papir og papp";"2017";3761
"Produksjon av papirmasse, papir og papp";"2018";3567
"Produksjon av papirmasse, papir og papp";"2019";3465
"Produksjon av papirmasse, papir og papp";"2020";3359
"Produksjon av papirmasse, papir og papp";"2021";3395
"Produksjon av papirmasse, papir og papp";"2022";3378
"Produksjon av papirmasse, papir og papp";"2023";2932
"Kjemiske råvarer";"1993";3774
"Kjemiske råvarer";"1994";5565
"Kjemiske råvarer";"1995";5896
"Kjemiske råvarer";"1996";5791
"Kjemiske råvarer";"1997";5841
"Kjemiske råvarer";"1998";5983
"Kjemiske råvarer";"1999";6488
"Kjemiske råvarer";"2000";6496
"Kjemiske råvarer";"2001";6876
"Kjemiske råvarer";"2002";6147
"Kjemiske råvarer";"2003";5929
"Kjemiske råvarer";"2004";6490
"Kjemiske råvarer";"2005";6783
"Kjemiske råvarer";"2006";6158
"Kjemiske råvarer";"2007";6808
"Kjemiske råvarer";"2008";6874
"Kjemiske råvarer";"2009";5737
"Kjemiske råvarer";"2010";7195
"Kjemiske råvarer";"2011";7303
"Kjemiske råvarer";"2012";6745
"Kjemiske råvarer";"2013";7052
"Kjemiske råvarer";"2014";7291
"Kjemiske råvarer";"2015";7392
"Kjemiske råvarer";"2016";7300
"Kjemiske råvarer";"2017";7073
