"år";"Bruttoforbruk";"Nettoforbruk"
"1950";16924;14749
"1955";22600;19715
"1960";31253;27509
"1961";33503;29989
"1962";37453;33789
"1963";38615;34953
"1964";42637;38487
"1965";46891;41962
"1966";48072;42984
"1967";51351;45803
"1968";56706;50853
"1969";55674;50267
"1970";56770;51459
"1971";60648;54882
"1972";62968;56901
"1973";67843;61013
"1974";71156;64292
"1975";71866;64693
"1976";75496;67367
"1977";73515;65849
"1978";77592;69285
"1979";84472;75554
"1980";83637;75105
"1981";88168;78072
"1982";87094;78096
"1983";92953;83111
"1984";98396;89191
"1985";102748;91931
"1986";99316;90526
"1987";103946;93781
"1988";104391;94787
"1989";104345;95194
"1990";105941;97709
"1991";108234;99964
"1992";108774;100442
"1993";112197;101949
"1994";113082;102926
"1995";116349;104964
"1996";113688;104147
"1997";115238;104893
"1998";120421;110448
"1999";120526;110520
"2000";123761;112355
"2001";125206;113761
"2002";120800;110195
"2003";115130;105829
"2004";121964;111332
"2005";125769;114048
"2006";122255;111100
"2007";127128;114610
"2008";128231;116308
"2009";122790;112367
"2010";131180;120556
"2011";124557;114943
"2012";129900;118706
"2013";128970;119540
"2014";126383;117057
"2015";129884;120049
"2016";132579;123447
"2017";134238;124830
"2018";136908;127548
"2019";134926;126051
"2020";133725;126422
"2021";139529;131931
"2022";133420;125154
"2023";136236;127117
