Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;12.1899;-7,67;-
Region Norge;GR0;01.1900;-7,17;-
Region Norge;GR0;02.1900;-13,23;-
Region Norge;GR0;03.1900;-5,6;-
Region Norge;GR0;04.1900;-2,23;-
Region Norge;GR0;05.1900;1,73;-
Region Norge;GR0;06.1900;8,62;-
Region Norge;GR0;07.1900;8,37;-
Region Norge;GR0;08.1900;9,38;-
Region Norge;GR0;09.1900;5,08;-
Region Norge;GR0;10.1900;0,72;-
Region Norge;GR0;11.1900;-2,26;-
Region Norge;GR0;12.1900;-6,16;-
Region Norge;GR0;01.1901;-5,74;-6,94
Region Norge;GR0;02.1901;-10,08;-10,94
Region Norge;GR0;03.1901;-5,66;-6,39
Region Norge;GR0;04.1901;0,1;-0,32
Region Norge;GR0;05.1901;4,2;4,56
Region Norge;GR0;06.1901;8,63;9,63
Region Norge;GR0;07.1901;13,76;14,77
Region Norge;GR0;08.1901;10,89;10,97
Region Norge;GR0;09.1901;7,99;7,92
Region Norge;GR0;10.1901;4,61;4,28
Region Norge;GR0;11.1901;-4,86;-5,45
Region Norge;GR0;12.1901;-8,25;-9,18
Region Norge;GR0;01.1902;-5,59;-6,76
Region Norge;GR0;02.1902;-8,57;-9,43
Region Norge;GR0;03.1902;-6,58;-7,31
Region Norge;GR0;04.1902;-1,84;-2,2
Region Norge;GR0;05.1902;1,84;2,18
Region Norge;GR0;06.1902;6,66;7,67
Region Norge;GR0;07.1902;7,56;8,54
Region Norge;GR0;08.1902;8,27;8,34
Region Norge;GR0;09.1902;4,41;4,35
Region Norge;GR0;10.1902;-0,59;-0,92
Region Norge;GR0;11.1902;-3,26;-3,86
Region Norge;GR0;12.1902;-5,95;-6,88
Region Norge;GR0;01.1903;-7,02;-8,2
Region Norge;GR0;02.1903;-3,39;-4,23
Region Norge;GR0;03.1903;-1,52;-2,24
Region Norge;GR0;04.1903;-1,51;-1,87
Region Norge;GR0;05.1903;3,4;3,75
Region Norge;GR0;06.1903;6,89;7,9
Region Norge;GR0;07.1903;8,99;9,98
Region Norge;GR0;08.1903;9,22;9,29
Region Norge;GR0;09.1903;6,34;6,29
Region Norge;GR0;10.1903;-1,19;-1,52
Region Norge;GR0;11.1903;-3,13;-3,73
Region Norge;GR0;12.1903;-4,43;-5,36
Region Norge;GR0;01.1904;-3,69;-4,87
Region Norge;GR0;02.1904;-10,44;-11,3
Region Norge;GR0;03.1904;-5,28;-6,02
Region Norge;GR0;04.1904;0,17;-0,19
Region Norge;GR0;05.1904;2,32;2,67
Region Norge;GR0;06.1904;7,17;8,17
Region Norge;GR0;07.1904;9,59;10,59
Region Norge;GR0;08.1904;9,44;9,52
Region Norge;GR0;09.1904;6,41;6,35
Region Norge;GR0;10.1904;2,25;1,91
Region Norge;GR0;11.1904;-5,75;-6,35
Region Norge;GR0;12.1904;-6,92;-7,84
Region Norge;GR0;01.1905;-6,63;-7,81
Region Norge;GR0;02.1905;-5,65;-6,5
Region Norge;GR0;03.1905;-3,57;-4,29
Region Norge;GR0;04.1905;-2,42;-2,78
Region Norge;GR0;05.1905;3,49;3,85
Region Norge;GR0;06.1905;8,99;10
Region Norge;GR0;07.1905;10,67;11,66
Region Norge;GR0;08.1905;9,63;9,69
Region Norge;GR0;09.1905;5,7;5,64
