Temperature;Humidity
22.40;26.80
22.40;26.80
22.30;26.80
22.30;26.90
22.30;26.80
22.30;27.00
22.30;26.90
22.30;26.80
22.40;26.90
22.30;26.90
22.30;26.70
22.30;26.80
22.30;27.00
22.30;26.70
22.40;26.90
22.30;26.70
22.30;26.70
22.40;26.80
22.30;26.80
22.40;26.60
22.40;26.70
22.40;26.90
22.40;26.70
22.40;26.70
22.30;26.80
22.40;26.70
22.30;26.70
22.30;26.70
22.30;26.80
22.40;26.70
22.30;26.60
22.30;26.60
22.40;26.90
22.30;26.80
22.30;26.80
22.30;26.70
22.30;26.60
22.40;26.70
22.30;26.70
22.30;26.80
22.30;26.80
22.40;26.50
22.20;26.70
22.40;26.80
22.40;26.90
22.40;26.70
22.30;26.70
22.40;26.80
22.40;26.80
22.30;26.90
22.30;26.90
22.30;26.70
22.40;26.90
22.30;26.70
22.30;26.80
22.30;26.80
22.40;26.80
22.30;26.80
22.40;26.80
22.30;26.70
22.30;26.80
22.30;26.90
22.30;26.90
22.30;26.90
22.40;26.90
22.30;26.70
22.40;26.70
22.40;26.80
22.40;26.60
22.30;26.80
22.30;26.70
22.30;26.90
22.40;26.90
22.40;26.60
22.40;26.60
22.30;26.60
22.40;26.60
22.40;26.70
22.40;26.60
22.40;26.50
22.40;26.70
22.40;26.70
22.30;26.60
22.40;26.60
22.40;26.60
22.40;26.80
22.40;26.60
22.40;26.70
22.30;26.70
22.50;26.70
22.30;26.60
22.40;26.70
22.40;26.60
22.40;26.70
22.40;26.70
22.30;26.70
22.40;26.70
22.40;26.80
22.30;26.80
22.50;26.80
22.30;26.80
22.30;26.80
22.40;26.60
22.40;26.80
22.40;26.90
22.40;26.80
22.30;26.60
22.30;26.70
22.30;26.90
22.40;26.80
22.40;26.80
22.40;26.70
22.30;26.80
22.40;26.60
22.40;26.60
22.40;26.90
22.50;26.90
22.40;26.80
22.30;26.70
22.40;26.90
22.40;27.00
22.40;26.90
22.30;27.00
22.40;27.00
22.50;27.00
22.40;27.10
22.40;27.00
22.40;27.20
22.40;27.00
22.40;27.00
22.40;27.10
22.40;27.00
22.40;27.00
22.40;27.10
22.40;27.10
22.50;27.20
22.40;27.20
22.40;27.20
22.50;27.10
22.50;27.10
22.50;27.20
22.50;27.20
22.40;27.00
22.50;27.00
22.40;26.90
22.40;27.10
22.30;27.20
22.40;26.90
22.30;26.90
22.40;27.00
22.40;26.90
22.40;27.00
22.50;27.00
22.40;27.00
22.40;26.80
22.40;27.00
22.40;26.80
22.40;26.90
22.50;27.00
22.50;27.00
22.40;26.80
22.50;27.10
22.50;27.10
22.40;26.80
22.40;27.10
22.50;26.90
22.40;27.00
22.40;27.00
22.40;27.10
22.40;27.10
22.50;27.10
22.50;27.00
22.50;27.10
22.50;27.10
22.50;27.00
22.40;27.10
22.40;27.10
22.30;27.10
22.40;27.20
22.50;27.30
22.50;27.20
22.40;27.30
22.50;27.20
22.50;27.40
22.50;27.40
22.50;27.60
22.50;27.60
22.50;27.50
22.40;27.50
22.40;27.50
22.50;27.50
22.50;27.50
22.50;27.60
22.50;27.70
22.40;27.30
22.50;27.30
22.50;27.30
22.50;27.30
22.40;27.20
22.50;27.20
22.50;27.20
22.50;27.10
22.50;27.00
22.40;27.20
22.60;27.10
22.50;27.10
22.50;27.10
22.50;27.10
22.50;27.10
22.40;27.00
22.50;26.90
22.50;27.00
22.50;27.00
22.50;27.00
22.40;27.00
22.50;27.00
22.60;27.10
22.60;27.20
22.50;27.20
22.50;27.20
22.50;27.40
22.50;27.30
22.50;27.20
22.50;27.40
22.50;27.40
22.50;27.20
22.50;27.40
22.50;27.30
22.60;27.30
22.50;27.40
22.60;27.40
22.50;27.40
22.50;27.30
22.50;27.50
22.50;27.50
22.50;27.30
22.60;27.40
22.50;27.50
22.50;27.40
22.50;27.40
22.50;27.40
22.50;27.30
22.40;27.30
22.50;27.20
22.50;27.00
22.50;27.00
22.60;26.90
22.50;27.00
22.50;27.10
22.50;27.00
22.60;26.90
22.50;26.90
22.50;26.90
22.60;26.70
22.50;26.90
22.50;27.00
22.50;27.10
22.50;26.90
22.60;26.80
22.50;27.00
22.60;27.00
22.60;27.00
22.50;27.00
22.50;26.90
22.50;26.90
22.60;27.00
22.50;26.80
22.50;26.90
22.50;26.80
22.60;26.80
22.60;26.80
22.50;26.80
22.50;26.80
22.60;26.90
22.50;26.80
22.50;26.80
22.50;26.80
22.50;26.90
22.50;26.80
22.50;26.90
22.50;27.00
22.50;27.00
22.50;27.00
22.50;26.90
22.50;26.90
22.50;26.90
22.60;27.00
22.50;26.80
22.50;27.00
22.50;26.90
22.60;27.20
22.50;27.20
22.50;27.10
22.50;27.10
22.50;26.80
22.50;26.80
22.60;27.00
22.50;26.80
22.50;26.90
22.60;26.90
22.50;26.80
22.60;26.80
22.60;26.80
22.50;26.80
22.60;26.70
22.50;26.80
22.50;26.70
